freq	dB(S(2,1))
3.45000000000000018E9	-5.76771014406397065E0
3.47500000000000009E9	-6.16845534823675745E0
3.50000000000000000E9	-6.56422049460291213E0
3.52499999999999991E9	-6.95432193162389822E0
3.54999999999999982E9	-7.33823657770031446E0
3.57500000000000018E9	-7.71557423266504205E0
3.60000000000000009E9	-8.08605377697669248E0
3.62500000000000000E9	-8.44948297726499220E0
3.64999999999999991E9	-8.80574152361302431E0
3.67499999999999982E9	-9.15476689387947395E0
3.70000000000000018E9	-9.49654264829756301E0
3.72500000000000009E9	-9.83108878647610851E0
3.75000000000000000E9	-1.01584538377011224E1
3.77499999999999991E9	-1.04787083972300255E1
3.79999999999999982E9	-1.07919398620752149E1
3.82500000000000018E9	-1.10982481574448988E1
3.85000000000000009E9	-1.13977422785729265E1
3.87500000000000000E9	-1.16905375018682944E1
3.89999999999999991E9	-1.19767531442867536E1
3.92499999999999982E9	-1.22565107709257259E1
3.95000000000000018E9	-1.25299327685094353E1
3.97500000000000009E9	-1.27971412171252719E1
4.00000000000000000E9	-1.30582570047318702E1
4.02500000000000036E9	-1.33133991389877226E1
4.04999999999999982E9	-1.35626842191952557E1
4.07500000000000018E9	-1.38062260379245316E1
4.09999999999999964E9	-1.40441352874291780E1
4.12500000000000000E9	-1.42765193505115495E1
4.15000000000000036E9	-1.45034821592143648E1
4.17499999999999982E9	-1.47251241077598682E1
4.20000000000000018E9	-1.49415420086490647E1
4.22499999999999964E9	-1.51528290828718593E1
4.25000000000000000E9	-1.53590749768477064E1
4.27500000000000036E9	-1.55603658000822098E1
4.29999999999999982E9	-1.57567841786436746E1
4.32500000000000018E9	-1.59484093204795574E1
4.34999999999999964E9	-1.61353170893429043E1
4.37500000000000000E9	-1.63175800847137187E1
4.40000000000000036E9	-1.64952677256032354E1
4.42499999999999982E9	-1.66684463365411828E1
4.45000000000000018E9	-1.68371792343836679E1
4.47499999999999964E9	-1.70015268148548637E1
4.50000000000000000E9	-1.71615466379611448E1
4.52500000000000036E9	-1.73172935116004534E1
4.54999999999999982E9	-1.74688195728387474E1
4.57500000000000018E9	-1.76161743664476411E1
4.59999999999999964E9	-1.77594049203956739E1
4.62500000000000000E9	-1.78985558180646320E1
4.65000000000000036E9	-1.80336692670267706E1
4.67499999999999982E9	-1.81647851642688063E1
4.70000000000000018E9	-1.82919411577892066E1
4.72499999999999964E9	-1.84151727045258484E1
4.75000000000000000E9	-1.85345131245959172E1
4.77500000000000036E9	-1.86499936518468568E1
4.79999999999999982E9	-1.87616434807307253E1
4.82500000000000018E9	-1.88694898095229457E1
4.84999999999999964E9	-1.89735578799114935E1
4.87500000000000000E9	-1.90738710129854350E1
4.90000000000000036E9	-1.91704506416512999E1
4.92499999999999982E9	-1.92633163395042639E1
4.95000000000000018E9	-1.93524858461770100E1
4.97499999999999964E9	-1.94379750891842429E1
5.00000000000000000E9	-1.95197982022740613E1
5.02500000000000036E9	-1.95979675402901021E1
5.04999999999999982E9	-1.96724936905392878E1
5.07500000000000018E9	-1.97433854806507303E1
5.09999999999999964E9	-1.98106499829004323E1
5.12500000000000000E9	-1.98742925149651617E1
5.15000000000000036E9	-1.99343166370564129E1
5.17499999999999982E9	-1.99907241453718187E1
5.20000000000000018E9	-2.00435150617874314E1
5.22499999999999964E9	-2.00926876196985527E1
5.25000000000000000E9	-2.01382382459003750E1
5.27500000000000036E9	-2.01801615383820998E1
5.29999999999999982E9	-2.02184502398887611E1
5.32500000000000018E9	-2.02530952070847770E1
5.34999999999999964E9	-2.02840853751303563E1
5.37500000000000000E9	-2.03114077174585761E1
5.40000000000000036E9	-2.03350472005135963E1
5.42499999999999982E9	-2.03549867331829359E1
5.45000000000000018E9	-2.03712071106248516E1
5.47499999999999964E9	-2.03836869521578912E1
5.50000000000000000E9	-2.03924026328422547E1
5.52500000000000036E9	-2.03973282083413565E1
5.54999999999999982E9	-2.03984353326065904E1
5.57500000000000018E9	-2.03956931678780329E1
5.59999999999999964E9	-2.03890682864385564E1
5.62500000000000000E9	-2.03785245634969492E1
5.65000000000000036E9	-2.03640230605074191E1
5.67499999999999982E9	-2.03455218981565933E1
5.70000000000000018E9	-2.03229761181639823E1
5.72499999999999964E9	-2.02963375329469020E1
5.75000000000000000E9	-2.02655545620942501E1
5.77500000000000036E9	-2.02305720544739120E1
5.79999999999999982E9	-2.01913310946641111E1
5.82500000000000018E9	-2.01477687922474935E1
5.84999999999999964E9	-2.00998180523354852E1
5.87500000000000000E9	-2.00474073254970353E1
5.90000000000000036E9	-1.99904603350462828E1
5.92499999999999982E9	-1.99288957793944732E1
5.95000000000000018E9	-1.98626270068877497E1
5.97499999999999964E9	-1.97915616602288869E1
6.00000000000000000E9	-1.97156012872111441E1
6.02500000000000036E9	-1.96346409140688105E1
6.04999999999999982E9	-1.95485685772625861E1
6.07500000000000018E9	-1.94572648089584921E1
6.09999999999999964E9	-1.93606020708136239E1
6.12500000000000000E9	-1.92584441299356302E1
6.15000000000000036E9	-1.91506453700191370E1
6.17499999999999982E9	-1.90370500296571343E1
6.20000000000000018E9	-1.89174913586566329E1
6.22499999999999964E9	-1.87917906818217917E1
6.25000000000000000E9	-1.86597563580693016E1
6.27500000000000036E9	-1.85211826208649155E1
6.29999999999999982E9	-1.83758482837603410E1
6.32500000000000018E9	-1.82235152922044996E1
6.34999999999999964E9	-1.80639270997170054E1
6.37500000000000000E9	-1.78968068428510518E1
6.40000000000000036E9	-1.77218552850148514E1
6.42499999999999982E9	-1.75387484940197136E1
6.45000000000000018E9	-1.73471352119993183E1
6.47499999999999964E9	-1.71466338688761266E1
6.50000000000000000E9	-1.69368291815683847E1
6.52500000000000036E9	-1.67172682703019104E1
6.54999999999999982E9	-1.64874562103106470E1
6.57500000000000018E9	-1.62468509213889023E1
6.59999999999999964E9	-1.59948572786055809E1
6.62500000000000000E9	-1.57308203043111217E1
6.65000000000000036E9	-1.54540172735575765E1
6.67499999999999982E9	-1.51636485313280200E1
6.70000000000000018E9	-1.48588267796348439E1
6.72499999999999964E9	-1.45385645448557810E1
6.75000000000000000E9	-1.42017594803624148E1
6.77500000000000036E9	-1.38471770974424135E1
6.79999999999999982E9	-1.34734304520185444E1
6.82500000000000018E9	-1.30789562538737081E1
6.84999999999999964E9	-1.26619868266471247E1
6.87500000000000000E9	-1.22205173667640765E1
6.90000000000000036E9	-1.17522680990751427E1
6.92499999999999982E9	-1.12546413460338224E1
6.95000000000000018E9	-1.07246744885533896E1
6.97499999999999964E9	-1.01589918345208674E1
7.00000000000000000E9	-9.55376257903717985E0
7.02500000000000036E9	-8.90468043562708367E0
7.04999999999999982E9	-8.20699734842508732E0
7.07500000000000018E9	-7.45567744962680123E0
7.09999999999999964E9	-6.64580513701862508E0
7.12500000000000000E9	-5.77351604473131363E0
7.15000000000000036E9	-4.83798128567656871E0
7.17499999999999982E9	-3.84544451276693833E0
7.20000000000000018E9	-2.81697622467228825E0
7.22499999999999964E9	-1.80179223271958810E0
7.25000000000000000E9	-8.94596069816551598E-1
7.27500000000000036E9	-2.41639386348149099E-1
7.29999999999999982E9	1.92865493310657388E-15
7.32500000000000018E9	-2.41639386347495666E-1
7.34999999999999964E9	-8.94596069816553907E-1
7.37500000000000000E9	-1.80179223271958810E0
7.40000000000000036E9	-2.81697622467228381E0
7.42499999999999982E9	-3.84544451276694277E0
7.45000000000000018E9	-4.83798128567640173E0
7.47499999999999964E9	-5.77351604473115465E0
7.50000000000000000E9	-6.64580513701825470E0
7.52500000000000036E9	-7.45567744962680123E0
7.54999999999999982E9	-8.20699734842508732E0
7.57500000000000018E9	-8.90468043562714051E0
7.59999999999999964E9	-9.55376257903717452E0
7.62500000000000000E9	-1.01589918345208652E1
7.65000000000000036E9	-1.07246744885533829E1
7.67499999999999982E9	-1.12546413460338890E1
7.70000000000000018E9	-1.17522680990751427E1
7.72499999999999964E9	-1.22205173667640388E1
7.75000000000000000E9	-1.26619868266471225E1
7.77500000000000036E9	-1.30789562538737481E1
7.79999999999999982E9	-1.34734304520184645E1
7.82500000000000018E9	-1.38471770974423825E1
7.84999999999999964E9	-1.42017594803624192E1
7.87500000000000000E9	-1.45385645448557677E1
7.90000000000000036E9	-1.48588267796348283E1
7.92499999999999982E9	-1.51636485313279801E1
7.95000000000000018E9	-1.54540172735575654E1
7.97499999999999964E9	-1.57308203043110950E1
8.00000000000000000E9	-1.59948572786055743E1
8.02500000000000036E9	-1.62468509213888868E1
8.05000000000000071E9	-1.64874562103106359E1
8.07499999999999929E9	-1.67172682703018927E1
8.09999999999999964E9	-1.69368291815683891E1
8.12500000000000000E9	-1.71466338688761111E1
8.15000000000000036E9	-1.73471352119993294E1
8.17500000000000071E9	-1.75387484940197114E1
8.19999999999999929E9	-1.77218552850148336E1
8.22499999999999964E9	-1.78968068428510496E1
8.25000000000000000E9	-1.80639270997169854E1
8.27500000000000036E9	-1.82235152922044930E1
8.30000000000000071E9	-1.83758482837603410E1
8.32499999999999929E9	-1.85211826208649133E1
8.34999999999999964E9	-1.86597563580693082E1
8.37500000000000000E9	-1.87917906818217739E1
8.40000000000000036E9	-1.89174913586566440E1
8.42500000000000071E9	-1.90370500296571277E1
8.44999999999999929E9	-1.91506453700191281E1
8.47499999999999964E9	-1.92584441299356257E1
8.50000000000000000E9	-1.93606020708136195E1
8.52500000000000036E9	-1.94572648089584854E1
8.55000000000000071E9	-1.95485685772625795E1
8.57499999999999929E9	-1.96346409140687994E1
8.59999999999999964E9	-1.97156012872111508E1
8.62500000000000000E9	-1.97915616602288980E1
8.65000000000000036E9	-1.98626270068877453E1
8.67500000000000071E9	-1.99288957793944665E1
8.69999999999999929E9	-1.99904603350462895E1
8.72499999999999964E9	-2.00474073254970397E1
8.75000000000000000E9	-2.00998180523354808E1
8.77500000000000036E9	-2.01477687922474935E1
8.80000000000000071E9	-2.01913310946641111E1
8.82499999999999929E9	-2.02305720544739076E1
8.84999999999999964E9	-2.02655545620942501E1
8.87500000000000000E9	-2.02963375329469020E1
8.90000000000000036E9	-2.03229761181639779E1
8.92500000000000071E9	-2.03455218981565933E1
8.94999999999999929E9	-2.03640230605074191E1
8.97499999999999964E9	-2.03785245634969492E1
9.00000000000000000E9	-2.03890682864385564E1
9.02500000000000036E9	-2.03956931678780329E1
9.05000000000000071E9	-2.03984353326065904E1
