freq	dB(S(2,1))
7.45000000000000018E9	-2.03779975176302752E-1
7.47499999999999964E9	-2.74690729398049616E-1
7.50000000000000000E9	-3.54847011047089600E-1
7.52500000000000036E9	-4.43620312440518205E-1
7.54999999999999982E9	-5.40347304278311746E-1
7.57500000000000018E9	-6.44342701558567210E-1
7.59999999999999964E9	-7.54911256485442195E-1
7.62500000000000000E9	-8.71358571372351953E-1
7.65000000000000036E9	-9.93000530369663359E-1
7.67499999999999982E9	-1.11917124747130914E0
7.70000000000000018E9	-1.24922951358918777E0
7.72499999999999964E9	-1.38256379413067254E0
7.75000000000000000E9	-1.51859587942873686E0
7.77500000000000036E9	-1.65678332432970454E0
7.79999999999999982E9	-1.79662083222619895E0
7.82500000000000018E9	-1.93764074547945864E0
7.84999999999999964E9	-2.07941280135616147E0
7.87500000000000000E9	-2.22154330304139602E0
7.90000000000000036E9	-2.36367384138836778E0
7.92499999999999982E9	-2.50547968680994382E0
7.95000000000000018E9	-2.64666795364326646E0
7.97499999999999964E9	-2.78697562253971354E0
8.00000000000000000E9	-2.92616749070123472E0
8.02500000000000036E9	-3.06403410555022937E0
8.05000000000000071E9	-3.20038972491135532E0
8.07499999999999929E9	-3.33507033605666736E0
8.09999999999999964E9	-3.46793175696414835E0
8.12500000000000000E9	-3.59884783573974421E0
8.15000000000000036E9	-3.72770875818489333E0
8.17500000000000071E9	-3.85441946877451347E0
8.19999999999999929E9	-3.97889820666074279E0
8.22499999999999964E9	-4.10107515556035018E0
8.25000000000000000E9	-4.22089120436241494E0
8.27500000000000036E9	-4.33829681386599564E0
8.30000000000000071E9	-4.45325098410482312E0
8.32499999999999929E9	-4.56572031613545004E0
8.34999999999999964E9	-4.67567816187123331E0
8.37500000000000000E9	-4.78310385546673622E0
8.40000000000000036E9	-4.88798201983962333E0
8.42500000000000071E9	-4.99030194211381417E0
8.44999999999999929E9	-5.09005701204357397E0
8.47499999999999964E9	-5.18724421780473044E0
8.50000000000000000E9	-5.28186369389562316E0
8.52500000000000036E9	-5.37391831626002325E0
8.55000000000000071E9	-5.46341334011587598E0
8.57499999999999929E9	-5.55035607633752903E0
8.59999999999999964E9	-5.63475560259050923E0
8.62500000000000000E9	-5.71662250575174635E0
8.65000000000000036E9	-5.79596865246199222E0
8.67500000000000071E9	-5.87280698495114883E0
8.69999999999999929E9	-5.94715133954798780E0
8.72499999999999964E9	-6.01901628553687829E0
8.75000000000000000E9	-6.08841698225342576E0
8.77500000000000036E9	-6.15536905252061040E0
8.80000000000000071E9	-6.21988847071826179E0
8.82499999999999929E9	-6.28199146395189878E0
8.84999999999999964E9	-6.34169442494417090E0
8.87500000000000000E9	-6.39901383541416369E0
8.90000000000000036E9	-6.45396619883779543E0
8.92500000000000071E9	-6.50656798159856908E0
8.94999999999999929E9	-6.55683556164130721E0
8.97499999999999964E9	-6.60478518383575164E0
